variable_original,importancia_shap_promedio,cantidad_variables_transformadas
score_promedio_externo,0.4900206,1
margen_esperado_producto,0.30478936,1
score_externo_3,0.16464214,1
antiguedad_laboral_anios,0.13214245,1
monto_bien,0.13214065,1
ratio_credito_bien,0.12842722,1
monto_anualidad,0.11420508,1
id_segmento,0.09929972,6
edad_anios,0.09642347,1
score_externo_2,0.06946186,1
id_producto,0.05223316,7
antiguedad_auto_anios,0.04759957,1
poblacion_region_relativa,0.046280436,1
monto_credito,0.044690385,1
genero_limpio,0.037616625,3
ratio_anualidad_ingreso,0.035264146,1
flag_tiene_auto,0.032381076,2
cantidad_scores_disponibles,0.031784523,1
ratio_credito_ingreso,0.030914493,1
ingreso_total,0.02832015,1
flag_score_externo_1_nulo,0.02710371,2
score_externo_1,0.026101893,1
nivel_educacional,0.020948533,5
nombre_segmento,0.020701962,6
tipo_contrato,0.015133707,2
estado_civil_limpio,0.008837122,6
nombre_producto,0.0075068334,7
cantidad_integrantes_familia,0.005756373,1
tipo_ingreso,0.0049341777,8
flag_score_externo_3_nulo,0.004609,2
familia_producto,0.0034641398,4
cantidad_hijos,0.003316535,1
tipo_vivienda,0.002519515,6
ocupacion_limpia,0.0023966113,19
tipo_acompanante,0.0023905877,8
flag_tiene_propiedad,0.0022270393,2
grupo_edad,0.0018033801,6
id_canal,0.0017177105,5
nombre_ejecutivo,0.0016826584,10
estado_ejecutivo,0.0015107952,2
rango_ingreso_estimado,0.0014845264,6
tramo_monto_credito,0.0014074091,5
tipo_organizacion,0.0012623005,58
id_filial,0.0012449619,6
estado_sucursal,0.0010395523,2
estado_asignacion,0.0009348718,2
id_sucursal,0.00080475723,25
ciudad_sucursal,0.00067670934,7
nombre_canal,0.00062918133,5
cargo_ejecutivo,0.00053183135,3
tipo_filial,0.0005213276,3
tramo_ingreso,0.00034118732,5
region_sucursal,0.00033222715,15
nombre_filial,0.00024632397,6
tipo_canal,0.00022073898,4
nombre_sucursal,0.00013264336,25
flag_score_externo_2_nulo,6.522061e-05,2
zona_filial,1.7345903e-05,6
flag_empleo_valor_especial,0.0,2
