variable_transformada,importancia_shap,variable_original
numericas__score_promedio_externo,0.4900206,score_promedio_externo
categoricas__id_segmento_SEG_005,0.45800802,id_segmento
numericas__margen_esperado_producto,0.30478936,margen_esperado_producto
categoricas__id_producto_PROD_004,0.29916605,id_producto
numericas__score_externo_3,0.16464214,score_externo_3
numericas__antiguedad_laboral_anios,0.13214245,antiguedad_laboral_anios
numericas__monto_bien,0.13214065,monto_bien
numericas__ratio_credito_bien,0.12842722,ratio_credito_bien
numericas__monto_anualidad,0.11420508,monto_anualidad
categoricas__nombre_segmento_Riesgo Alto,0.10779004,nombre_segmento
numericas__edad_anios,0.09642347,edad_anios
categoricas__nivel_educacional_Higher education,0.07267822,nivel_educacional
numericas__score_externo_2,0.06946186,score_externo_2
categoricas__genero_limpio_M,0.06768672,genero_limpio
categoricas__flag_tiene_auto_false,0.055943605,flag_tiene_auto
categoricas__id_segmento_SEG_003,0.054115217,id_segmento
categoricas__id_segmento_SEG_006,0.053710353,id_segmento
categoricas__id_producto_PROD_005,0.050600097,id_producto
numericas__antiguedad_auto_anios,0.04759957,antiguedad_auto_anios
numericas__poblacion_region_relativa,0.046280436,poblacion_region_relativa
categoricas__flag_score_externo_1_nulo_false,0.046077747,flag_score_externo_1_nulo
categoricas__genero_limpio_F,0.04516315,genero_limpio
numericas__monto_credito,0.044690385,monto_credito
categoricas__nombre_producto_Refinanciamiento,0.044189375,nombre_producto
categoricas__estado_civil_limpio_Married,0.040644445,estado_civil_limpio
numericas__ratio_anualidad_ingreso,0.035264146,ratio_anualidad_ingreso
numericas__cantidad_scores_disponibles,0.031784523,cantidad_scores_disponibles
numericas__ratio_credito_ingreso,0.030914493,ratio_credito_ingreso
categoricas__tipo_ingreso_Working,0.03077585,tipo_ingreso
categoricas__nivel_educacional_Secondary / secondary special,0.028581988,nivel_educacional
numericas__ingreso_total,0.02832015,ingreso_total
categoricas__tipo_contrato_Cash loans,0.027237508,tipo_contrato
numericas__score_externo_1,0.026101893,score_externo_1
categoricas__id_segmento_SEG_002,0.017926194,id_segmento
categoricas__tipo_organizacion_Self-employed,0.016810868,tipo_organizacion
categoricas__nombre_segmento_Nuevo Cliente,0.012873846,nombre_segmento
categoricas__ocupacion_limpia_Drivers,0.012267833,ocupacion_limpia
categoricas__familia_producto_Créditos,0.011781854,familia_producto
categoricas__ocupacion_limpia_Core staff,0.011578688,ocupacion_limpia
categoricas__tipo_organizacion_School,0.010903695,tipo_organizacion
"categoricas__tipo_acompanante_Spouse, partner",0.010823264,tipo_acompanante
categoricas__tipo_vivienda_House / apartment,0.010149357,tipo_vivienda
categoricas__id_producto_PROD_002,0.00917141,id_producto
categoricas__flag_tiene_auto_true,0.008818546,flag_tiene_auto
categoricas__flag_score_externo_3_nulo_false,0.008156333,flag_score_externo_3_nulo
categoricas__flag_score_externo_1_nulo_true,0.008129675,flag_score_externo_1_nulo
categoricas__id_segmento_SEG_001,0.0080653345,id_segmento
categoricas__tipo_ingreso_State servant,0.007684154,tipo_ingreso
categoricas__estado_civil_limpio_Civil marriage,0.006772442,estado_civil_limpio
categoricas__nombre_producto_Avance en Efectivo,0.006657551,nombre_producto
categoricas__grupo_edad_45 a 54,0.0060583036,grupo_edad
numericas__cantidad_integrantes_familia,0.005756373,cantidad_integrantes_familia
categoricas__tipo_organizacion_Business Entity Type 3,0.0053195655,tipo_organizacion
categoricas__ocupacion_limpia_Accountants,0.0050977175,ocupacion_limpia
categoricas__tipo_acompanante_Unaccompanied,0.004792375,tipo_acompanante
categoricas__id_sucursal_SUC_004,0.004416811,id_sucursal
categoricas__estado_civil_limpio_Separated,0.0043859635,estado_civil_limpio
categoricas__tipo_organizacion_Military,0.004249959,tipo_organizacion
categoricas__tipo_organizacion_Industry: type 9,0.00408169,tipo_organizacion
categoricas__tramo_monto_credito_200k a 499k,0.004069615,tramo_monto_credito
categoricas__flag_tiene_propiedad_false,0.004001899,flag_tiene_propiedad
categoricas__id_segmento_SEG_004,0.003973186,id_segmento
categoricas__id_producto_PROD_003,0.003733817,id_producto
categoricas__rango_ingreso_estimado_Variable,0.00364954,rango_ingreso_estimado
categoricas__rango_ingreso_estimado_Sin historial,0.0035699697,rango_ingreso_estimado
numericas__cantidad_hijos,0.003316535,cantidad_hijos
categoricas__tipo_organizacion_Bank,0.0032339324,tipo_organizacion
categoricas__tipo_contrato_Revolving loans,0.003029906,tipo_contrato
categoricas__tipo_organizacion_Construction,0.002851894,tipo_organizacion
categoricas__tipo_organizacion_Security Ministries,0.0028493933,tipo_organizacion
categoricas__nombre_segmento_Medio,0.0027247672,nombre_segmento
categoricas__nombre_ejecutivo_Javier Herrera,0.002698513,nombre_ejecutivo
categoricas__nombre_ejecutivo_María González,0.0026336857,nombre_ejecutivo
categoricas__ocupacion_limpia_Sales staff,0.0025330207,ocupacion_limpia
categoricas__estado_ejecutivo_Activo,0.0023898387,estado_ejecutivo
categoricas__nombre_ejecutivo_Felipe Castillo,0.002383312,nombre_ejecutivo
categoricas__tipo_organizacion_Police,0.0023457916,tipo_organizacion
categoricas__tipo_vivienda_Municipal apartment,0.002300993,tipo_vivienda
categoricas__nombre_ejecutivo_Matías Morales,0.002278024,nombre_ejecutivo
categoricas__grupo_edad_35 a 44,0.0022380622,grupo_edad
categoricas__id_canal_CAN_004,0.0021051574,id_canal
categoricas__id_canal_CAN_002,0.0020995168,id_canal
categoricas__id_sucursal_SUC_012,0.002090926,id_sucursal
categoricas__nombre_ejecutivo_Ana Torres,0.0020588986,nombre_ejecutivo
categoricas__id_canal_CAN_003,0.0020326392,id_canal
categoricas__ocupacion_limpia_High skill tech staff,0.0019942464,ocupacion_limpia
categoricas__id_filial_FIL_004,0.0019002508,id_filial
categoricas__tipo_organizacion_Transport: type 3,0.0018877195,tipo_organizacion
categoricas__id_filial_FIL_002,0.0018864061,id_filial
categoricas__tipo_organizacion_Trade: type 2,0.0018673487,tipo_organizacion
categoricas__region_sucursal_Región 13,0.0018521389,region_sucursal
categoricas__nivel_educacional_Incomplete higher,0.0017820713,nivel_educacional
categoricas__id_sucursal_SUC_025,0.0017735728,id_sucursal
categoricas__nombre_canal_Sucursal,0.0017652841,nombre_canal
categoricas__id_canal_CAN_001,0.0017175566,id_canal
categoricas__tipo_organizacion_Transport: type 4,0.0017140026,tipo_organizacion
categoricas__estado_asignacion_Activa,0.0016812029,estado_asignacion
categoricas__ocupacion_limpia_Low-skill Laborers,0.0016534657,ocupacion_limpia
categoricas__id_sucursal_SUC_017,0.001651037,id_sucursal
categoricas__nombre_ejecutivo_Valentina Rojas,0.0016446703,nombre_ejecutivo
categoricas__ciudad_sucursal_Puerto Montt,0.0016364257,ciudad_sucursal
categoricas__estado_sucursal_Activa,0.0016326286,estado_sucursal
categoricas__tipo_vivienda_Office apartment,0.0016242616,tipo_vivienda
categoricas__ocupacion_limpia_Sin informacion,0.0016005052,ocupacion_limpia
categoricas__ocupacion_limpia_Security staff,0.0015888565,ocupacion_limpia
categoricas__id_producto_PROD_007,0.0014870465,id_producto
categoricas__ocupacion_limpia_Cleaning staff,0.0014704346,ocupacion_limpia
categoricas__id_producto_PROD_001,0.0014556843,id_producto
categoricas__ocupacion_limpia_Laborers,0.0014441531,ocupacion_limpia
categoricas__tramo_monto_credito_Menor a 200k,0.0013775342,tramo_monto_credito
categoricas__tramo_monto_credito_500k a 999k,0.0013500992,tramo_monto_credito
categoricas__id_sucursal_SUC_022,0.0013350914,id_sucursal
categoricas__nivel_educacional_Lower secondary,0.0013301675,nivel_educacional
categoricas__rango_ingreso_estimado_500k-1.2MM,0.0013300753,rango_ingreso_estimado
categoricas__tipo_organizacion_Housing,0.0013289823,tipo_organizacion
categoricas__tipo_acompanante_Sin información,0.0013113731,tipo_acompanante
categoricas__ocupacion_limpia_Medicine staff,0.001301926,ocupacion_limpia
categoricas__familia_producto_Normalización,0.0012068998,familia_producto
categoricas__ocupacion_limpia_Secretaries,0.0011805322,ocupacion_limpia
categoricas__tipo_organizacion_Industry: type 3,0.001157743,tipo_organizacion
categoricas__tipo_acompanante_Family,0.0011554672,tipo_acompanante
categoricas__id_filial_FIL_003,0.001152193,id_filial
categoricas__region_sucursal_Región 16,0.0011304535,region_sucursal
